code_506,icd10,name_en,name_th,name_th_pdf
01,A00,Cholera,อหิวาตกโรค,อหิวำตกโรค
02,A04,"A04.0–A04.9, Acute diarrhea",โรคอุจจาระร่วงเฉียบพลัน,โรคอุจจำระร่วงเฉียบพลัน
03,A02,Food poisoning,อาหารเป็นพิษ,อำหำรเป็นพิษ
05,A03,"Shigellosis dysentery, Bacillary",โรคบิดจากเชื้อชิเกลลา,โรคบิดจำกเชื้อชิเกลลำ
06,A06,"A06.0-A06.9 Amoebic dysentery, Amoebiasis",โรคบิดมีตัวหรือโรคบิดจากเชื้ออะมีบา,โรคบิดมีตัวหรือโรคบิดจำก
07,A01,Enteric fever,ไข้เอนเทอริค,ไข้เอนเทอริค
08,A01.0,Typhoid fever,ไข้ไทฟอยด์หรือไข้รากสาดน้อย,ไข้ไทฟอยด์หรือ
09,A01.1–A01.4,Paratyphoid fever,ไข้พาราไทฟอยด์หรือไข้รากสาดเทียม,ไข้พำรำไทฟอยด์หรือไข้
10,B17.8–B17.9,Unspecified viral hepatitis,โรคไวรัสตับอักเสบไม่ระบุชนิด,โรคไวรัสตับอักเสบไม่ระบุ
11,B15,Acute hepatitis A Virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด เอ,โรคไวรัสตับอักเสบ
12,B16.0–B16.2,Acute hepatitis B Virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด บี,โรคไวรัสตับอักเสบ
13,B17.1,Acute hepatitis C Virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด ซี,โรคไวรัสตับอักเสบ
14,A36.86,Conjunctivitis,โรคตาแดงจากไวรัส,โรคตำแดง                   -ปรับรำยละเอียด
15,J10-J11,"Influenza, (Flu)",ไข้หวัดใหญ่,ไข้หวัดใหญ่
16,B06,Rubella,"ไข้หัดเยอรมัน, ไข้หัดเยอรมันที่ไม่มีโรคแทรกซ้อน, ไข้หัดเยอรมันที่มีโรคแทรกซ้อน",ไข้หัดเยอรมัน               -ให้รำยงำนข้อมูล
17,B01.0–B01.2,"Varicella, Chickenpox",โรคสุกใส หรือโรคอีสุกอีใส,โรคสุกใสหรือ
18,R50.8,Fever of unknown origin: FUO,ไข้ไม่ทราบสาเหตุ,ไข้ไม่ทรำบสำเหตุ
19,A39.0,Meningococcal meningitis,ไข้กาฬหลังแอ่น,ไข้กำฬหลังแอ่น
20,A80.0-A80.4,Poliomyelitis,โรคโปลิโอ,โรคโปลิโอ
21,B05.9,Measles,ไข้หัดที่ไม่มีโรคแทรกซ้อน,ไข้หัดที่ไม่มีโรคแทรกซ้อน   -ให้รำยงำนข้อมูล
22,B05.0–B05.4,Measles with complication,ไข้หัดที่มีโรคแทรกซ้อน,ไข้หัดที่มีโรคแทรกซ้อน
23,A36.0–A36.3,Diphtheria,โรคคอตีบ,โรคคอตีบ
24,A37.0,Pertussis,โรคไอกรน,โรคไอกรน
25,A34,Tetanus,โรคบาดทะยัก,โรคบำดทะยัก
26,A91.1,Dengue hemorrhagic fever (DHF),ไข้เลือดออก,ไข้เลือดออก             - ICD-10 เดิม
27,A91.0,Dengue shock syndrome (DSS),ไข้เลือดออกช็อก,ไข้เลือดออกช็อก         - ICD-10 เดิม
28,A32.1,Encephalitis,ไข้สมองอักเสบ,ไข้สมองอักเสบ           -ปรับเพิ่ม ICD-10
29,A83.0,"Japanese B encephalitis, J.E.",ไข้สมองอักเสบเจแปนนิส,ไข้สมองอักเสบเจแปนนิส
30,B50.0,Malaria,ไข้มาลาเรีย,ไข้มำลำเรีย           -ตัดกำรจำแนก
